env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,env_WANDB_MODE,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mnli,,01H9MHW9ADF876YC19GKT07M97,,0.38,0.8183392766174223,0.5077280402183533,0.8157414963079107,0.8183392766174225,83.1915,9815,117.981,14.749,0.8209926769731489,0.4986986517906189,0.8185218695999734,0.8209926769731489,83.3406,9832,117.974,14.747,,01H9MHW9AF9XDYAGWQPTFEY2AP,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,mnli,,01H9MHWC8GA0D8TR28E89H6951,,,,,,,,,,,,,,,,,,,2023-09-06 15:04:40.099238 +0000 UTC,01H9MHWC8KNN9VEYTEB0CC5B16,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,mnli,,01H9MHWC8GA0D8TR28E89H6951,,0.38,0.828222109016811,0.47430312633514404,0.8267806729395022,0.828222109016811,84.8873,9815,115.624,14.454,0.8306550040683482,0.47221603989601135,0.8292774869904503,0.8306550040683484,84.9815,9832,115.696,14.462,,01H9MHWC8KNN9VEYTEB0CC5B16,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mnli,,01H9MHWF94PHNA2EZMSTWHCCTG,,,,,,,,,,,,,,,,,,,2023-09-06 14:43:39.998713 +0000 UTC,01H9MHWF98QS8GE3RK9SQQ19QC,mnli-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mnli,,01H9MHWF94PHNA2EZMSTWHCCTG,,,,,,,,,,,,,,,,,,,2023-09-06 16:03:18.271619 +0000 UTC,01H9MHWF98QS8GE3RK9SQQ19QC,mnli-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mnli,,01H9MHWF94PHNA2EZMSTWHCCTG,,,,,,,,,,,,,,,,,,,2023-09-06 17:41:12.358668 +0000 UTC,01H9MHWF98QS8GE3RK9SQQ19QC,mnli-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mnli,,01H9MHWF94PHNA2EZMSTWHCCTG,,0.38,0.8300560366785532,0.4686853289604187,0.8289324749185027,0.8300560366785532,69.9568,9815,140.301,17.539,0.8325874694873882,0.467246413230896,0.8312187243182615,0.8325874694873882,70.3446,9832,139.769,17.471,,01H9MHWF98QS8GE3RK9SQQ19QC,mnli-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,mnli,,01H9MHWJ77W29MKB53DFZBQVSS,,0.38,0.8315843097300051,0.4530126750469208,0.8303250896673066,0.8315843097300051,83.8088,9815,117.112,14.64,0.8399104963384866,0.45033207535743713,0.8386441097049383,0.8399104963384865,84.1323,9832,116.864,14.608,,01H9MHWJ796ZN27ERA676KTYSR,mnli-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,mnli,,01H9MHWN65QB2QTW7Q201JEZCG,,0.38,0.8337238920020377,0.4508899450302124,0.8328837358719802,0.8337238920020377,83.5192,9815,117.518,14.691,0.8408258746948739,0.447065144777298,0.8398268446860194,0.8408258746948739,83.7699,9832,117.369,14.671,,01H9MHWN67MBF0Y67WFB7ZZEVH,mnli-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,mnli,,01H9MHWR4T51AAH4J09KDB3Y4J,,,,,,,,,,,,,,,,,,,2023-09-06 14:44:08.226777 +0000 UTC,01H9MHWR4XVBTVGMEN22DQ05WC,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,mnli,,01H9MHWR4T51AAH4J09KDB3Y4J,,,,,,,,,,,,,,,,,,,2023-09-06 16:03:18.268856 +0000 UTC,01H9MHWR4XVBTVGMEN22DQ05WC,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,mnli,,01H9MHWR4T51AAH4J09KDB3Y4J,,,,,,,,,,,,,,,,,,,2023-09-06 17:55:29.903659 +0000 UTC,01H9MHWR4XVBTVGMEN22DQ05WC,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,mnli,,01H9MHWR4T51AAH4J09KDB3Y4J,,0.38,0.8317880794701987,0.43892744183540344,0.8304145150198826,0.8317880794701986,125.3907,9815,78.275,9.785,0.8391985353946297,0.4350646436214447,0.8377630210913615,0.8391985353946297,125.6703,9832,78.236,9.78,,01H9MHWR4XVBTVGMEN22DQ05WC,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,mnli,,01H9MHWV2NF66G9GA0WXHG1SZG,,,,,,,,,,,,,,,,,,,2023-09-06 13:55:03.078727 +0000 UTC,01H9MHWV2QQ9BTM5TGY1ZHEPFC,mnli-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,mnli,,01H9MHWV2NF66G9GA0WXHG1SZG,,,,,,,,,,,,,,,,,,,2023-09-06 16:02:20.569916 +0000 UTC,01H9MHWV2QQ9BTM5TGY1ZHEPFC,mnli-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,mnli,,01H9MHWV2NF66G9GA0WXHG1SZG,,0.38,0.8313805399898115,0.4458516240119934,0.830822078212889,0.8313805399898115,80.1644,9815,122.436,15.306,0.8385882831570383,0.4396931827068329,0.8378441456771962,0.8385882831570383,79.9452,9832,122.984,15.373,,01H9MHWV2QQ9BTM5TGY1ZHEPFC,mnli-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,mnli,,01H9MHWY4AY46V7Q0PC0ZM0ZKM,,,,,,,,,,,,,,,,,,,2023-09-06 13:55:03.075499 +0000 UTC,01H9MHWY4CPFQHNSPV6KS5KMTC,mnli-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,mnli,,01H9MHWY4AY46V7Q0PC0ZM0ZKM,,,,,,,,,,,,,,,,,,,2023-09-06 15:47:00.227272 +0000 UTC,01H9MHWY4CPFQHNSPV6KS5KMTC,mnli-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,mnli,,01H9MHWY4AY46V7Q0PC0ZM0ZKM,,0.38,0.8337238920020377,0.43861067295074463,0.8324561637826946,0.8337238920020377,100.4209,9815,97.739,12.219,0.8398087876322213,0.43567028641700745,0.838388783647611,0.8398087876322213,100.8499,9832,97.491,12.186,,01H9MHWY4CPFQHNSPV6KS5KMTC,mnli-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,mnli,,01H9MHX10K8KWHJHNFVB1M1152,,,,,,,,,,,,,,,,,,,2023-09-06 14:34:48.928521 +0000 UTC,01H9MHX10P0NEKEBDBGPE02ZAH,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,mnli,,01H9MHX10K8KWHJHNFVB1M1152,,,,,,,,,,,,,,,,,,,2023-09-06 15:46:59.449558 +0000 UTC,01H9MHX10P0NEKEBDBGPE02ZAH,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,mnli,,01H9MHX10K8KWHJHNFVB1M1152,,0.38,0.8183392766174223,0.5077279210090637,0.8157414963079107,0.8183392766174225,86.0009,9815,114.127,14.267,0.8209926769731489,0.4986984431743622,0.8185218695999734,0.8209926769731489,86.127,9832,114.157,14.27,,01H9MHX10P0NEKEBDBGPE02ZAH,mnli-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,mnli,,01H9MHX3YDH7P0873FCFKERDCG,,,,,,,,,,,,,,,,,,,2023-09-06 15:46:55.07394 +0000 UTC,01H9MHX3YFB11ZDJESWZC7VGHZ,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,mnli,,01H9MHX3YDH7P0873FCFKERDCG,,,,,,,,,,,,,,,,,,,2023-09-06 14:34:48.925428 +0000 UTC,01H9MHX3YFB11ZDJESWZC7VGHZ,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,mnli,,01H9MHX3YDH7P0873FCFKERDCG,,,,,,,,,,,,,,,,,,,2023-09-06 17:18:12.320887 +0000 UTC,01H9MHX3YFB11ZDJESWZC7VGHZ,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,mnli,,01H9MHX3YDH7P0873FCFKERDCG,,,,,,,,,,,,,,,,,,,2023-09-06 19:02:58.153722 +0000 UTC,01H9MHX3YFB11ZDJESWZC7VGHZ,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,2,mnli,,01H9MHX3YDH7P0873FCFKERDCG,,0.38,0.8280183392766174,0.4799688160419464,0.827048984083692,0.8280183392766174,69.7462,9815,140.724,17.592,0.8316720911310008,0.47707799077033997,0.8307000115571266,0.8316720911310008,69.6576,9832,141.147,17.643,,01H9MHX3YFB11ZDJESWZC7VGHZ,mnli-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,2,mnli,,01H9MHX6WMERMBCPXZD1RW26XA,,0.38,0.8228222109016811,0.4839325249195099,0.8214641615639543,0.8228222109016811,71.1558,9815,137.937,17.244,0.834113100081367,0.470752090215683,0.8325045944794164,0.8341131000813671,71.0885,9832,138.306,17.288,,01H9MHX6WQD3DAYDF58QY31RGS,mnli-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,2,mnli,,01H9MHX9VZ9Q23DP43PPM9DH2X,,,,,,,,,,,,,,,,,,,2023-09-06 14:44:37.797722 +0000 UTC,01H9MHX9W12000GMCACHWDSW7S,mnli-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,2,mnli,,01H9MHX9VZ9Q23DP43PPM9DH2X,,0.38,0.8315843097300051,0.453012615442276,0.8303250896673066,0.8315843097300051,86.7465,9815,113.146,14.145,0.8399104963384866,0.45033204555511475,0.8386441097049383,0.8399104963384865,87.0007,9832,113.011,14.126,,01H9MHX9W12000GMCACHWDSW7S,mnli-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,2,mnli,,01H9MHX9VZ9Q23DP43PPM9DH2X,,,,,,,,,,,,,,,,,,,2023-09-06 15:46:27.489437 +0000 UTC,01H9MHX9W12000GMCACHWDSW7S,mnli-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,mnli,,01H9MHXCSG8FQF99FXK3J3TNPV,,,,,,,,,,,,,,,,,,,2023-09-06 15:40:50.30161 +0000 UTC,01H9MHXCSJ7SG8593RJ1S9BZZ3,mnli-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,mnli,,01H9MHXCSG8FQF99FXK3J3TNPV,,,,,,,,,,,,,,,,,,,2023-09-06 14:34:20.94289 +0000 UTC,01H9MHXCSJ7SG8593RJ1S9BZZ3,mnli-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,mnli,,01H9MHXCSG8FQF99FXK3J3TNPV,,,,,,,,,,,,,,,,,,,2023-09-06 17:02:26.420503 +0000 UTC,01H9MHXCSJ7SG8593RJ1S9BZZ3,mnli-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,2,mnli,,01H9MHXCSG8FQF99FXK3J3TNPV,,0.38,0.8337238920020377,0.4508900046348572,0.8328837358719802,0.8337238920020377,86.4401,9815,113.547,14.195,0.8408258746948739,0.447065144777298,0.8398268446860194,0.8408258746948739,85.9214,9832,114.43,14.304,,01H9MHXCSJ7SG8593RJ1S9BZZ3,mnli-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,mnli,,01H9MHXFREZWNCE527K0QFH1Z9,,,,,,,,,,,,,,,,,,,2023-09-06 14:34:20.939941 +0000 UTC,01H9MHXFRG7730D0F3SB2Z1BE0,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,mnli,,01H9MHXFREZWNCE527K0QFH1Z9,,,,,,,,,,,,,,,,,,,2023-09-06 15:40:50.298166 +0000 UTC,01H9MHXFRG7730D0F3SB2Z1BE0,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,2,mnli,,01H9MHXFREZWNCE527K0QFH1Z9,,0.38,0.8317880794701987,0.43892747163772583,0.8304145150198826,0.8317880794701986,125.7549,9815,78.049,9.757,0.8391985353946297,0.4350646436214447,0.8377630210913615,0.8391985353946297,125.483,9832,78.353,9.794,,01H9MHXFRG7730D0F3SB2Z1BE0,mnli-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,2,mnli,,01H9MHXJPTTB591RR24AZPFXSM,,,,,,,,,,,,,,,,,,,2023-09-06 15:17:24.593127 +0000 UTC,01H9MHXJPW4ZPAMFKMD2RFAN8C,mnli-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,2,mnli,,01H9MHXJPTTB591RR24AZPFXSM,,0.38,0.832603158430973,0.4413282871246338,0.8318958680225826,0.8326031584309731,95.0368,9815,103.276,12.911,0.8413344182262001,0.4375951886177063,0.8404102003165872,0.8413344182262001,94.8915,9832,103.613,12.952,,01H9MHXJPW4ZPAMFKMD2RFAN8C,mnli-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,2,mnli,,01H9MHXNPJQZ74B0EKZC10H38M,,,,,,,,,,,,,,,,,,,2023-09-06 15:17:24.589706 +0000 UTC,01H9MHXNPM86CZ1X3T3BNG2GXX,mnli-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,2,mnli,,01H9MHXNPJQZ74B0EKZC10H38M,,0.38,0.8337238920020377,0.4386107325553894,0.8324561637826946,0.8337238920020377,101.2601,9815,96.929,12.117,0.8398087876322213,0.43567022681236267,0.838388783647611,0.8398087876322213,100.9826,9832,97.363,12.17,,01H9MHXNPM86CZ1X3T3BNG2GXX,mnli-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_2
